prediction;test_price
30.31;30.5
30.4;29.58
30.38;29.83
29.49;29.91
29.57;29.39
29.74;30.09
29.51;30.57
29.61;30.81
29.93;30.7
29.9;30.49
29.8;30.19
29.64;30.17
29.42;30.88
29.49;30.64
29.93;31.2
30.0;31.33
30.59;31.35
30.96;31.49
30.94;31.61
30.92;30.65
31.02;30.44
30.41;30.17
30.25;30.15
29.89;30.24
29.71;30.37
29.72;29.73
29.97;29.6
29.43;29.49
29.3;28.79
29.25;28.76
28.7;28.61
28.47;29.36
28.33;28.97
28.88;29.14
28.85;30.01
28.97;30.37
29.54;31.05
29.92;30.31
30.3;30.31
30.02;30.52
29.77;30.59
29.84;30.69
29.9;30.5
29.92;30.64
29.94;30.6
30.06;30.95
30.2;31.26
30.2;30.9
30.2;30.44
29.96;29.66
29.64;30.08
29.01;29.82
29.19;29.75
29.17;29.57
29.11;29.65
29.06;29.86
29.1;29.68
29.39;30.3
29.37;30.2
29.64;30.37
29.73;30.91
29.86;30.96
30.28;30.88
30.6;31.27
30.54;31.21
30.79;31.24
30.68;31.12
30.77;30.67
30.72;31.01
30.37;31.06
30.58;31.32
30.55;31.76
30.67;32.21
30.95;32.17
31.51;32.7
31.46;32.36
31.77;32.27
31.74;32.34
31.41;32.5
31.49;33.17
31.78;33.32
32.27;33.19
32.78;33.01
32.87;33.13
32.51;32.18
32.46;33.81
31.76;33.36
32.6;33.07
32.6;33.34
32.28;33.66
32.23;33.15
32.64;33.09
32.7;32.35
32.79;33.02
32.51;32.87
32.66;32.62
32.68;32.7
32.34;33.25
32.44;33.44
32.72;33.67
33.03;33.64
33.05;33.43
33.15;33.11
33.26;33.27
32.97;33.19
32.98;33.62
32.65;33.72
33.07;33.46
33.27;33.51
33.06;33.55
32.98;33.56
33.05;33.8
32.87;34.36
33.04;34.14
33.3;33.94
33.31;33.83
33.34;34.05
33.02;33.94
33.06;33.96
33.12;34.24
33.1;35.3
33.2;36.18
33.9;35.9
34.6;35.72
34.68;35.77
34.69;35.67
34.54;35.47
34.74;35.55
34.61;35.58
34.53;35.67
34.42;35.39
34.61;35.47
34.36;35.98
34.21;36.16
34.55;36.09
34.95;35.71
35.06;35.73
34.88;35.18
34.69;35.19
34.32;36.11
34.25;36.66
34.61;36.67
35.03;36.86
35.42;37.07
35.63;37.29
35.71;39.26
36.06;39.22
37.38;39.31
37.87;39.15
37.87;39.02
37.67;39.57
37.48;39.57
37.83;39.44
37.89;38.62
